wavenumber,k1,k2,k3
1290.2,0.070007,0.11908,0.060954
1292.1,0.068011,0.11612,0.060133
1294,0.066098,0.11327,0.059327
1296,0.064268,0.11053,0.058537
1297.9,0.062514,0.1079,0.057761
1299.8,0.060836,0.10537,0.056999
1301.7,0.059229,0.10293,0.056251
1303.7,0.05769,0.10058,0.055516
1305.6,0.056214,0.098306,0.054795
1307.5,0.0548,0.096116,0.054086
1309.5,0.053444,0.093999,0.053389
1311.4,0.052143,0.091955,0.052704
1313.3,0.050894,0.089978,0.052031
1315.2,0.049694,0.088066,0.051369
1317.2,0.048541,0.086216,0.050718
1319.1,0.047433,0.084426,0.050079
1321,0.046367,0.082693,0.04945
1322.9,0.045341,0.081014,0.048832
1324.9,0.044352,0.079387,0.048223
1326.8,0.0434,0.077812,0.047625
1328.7,0.042482,0.076283,0.047037
1330.7,0.041596,0.074802,0.046459
1332.6,0.04074,0.073364,0.045889
1334.5,0.039915,0.07197,0.045329
1336.4,0.039116,0.070616,0.044778
1338.4,0.038345,0.069303,0.044237
1340.3,0.037598,0.068027,0.043703
1342.2,0.036876,0.066788,0.043179
1344.2,0.036176,0.065584,0.042663
1346.1,0.035498,0.064415,0.042155
1348,0.034841,0.063277,0.041655
1349.9,0.034205,0.062172,0.041163
1351.9,0.033587,0.061097,0.040679
1353.8,0.032988,0.060051,0.040203
1355.7,0.032405,0.059033,0.039734
1357.7,0.03184,0.058043,0.039273
1359.6,0.031291,0.057079,0.038819
1361.5,0.030757,0.056141,0.038372
1363.4,0.030238,0.055226,0.037932
1365.4,0.029734,0.054336,0.037499
1367.3,0.029242,0.053468,0.037072
1369.2,0.028764,0.052623,0.036653
1371.2,0.028299,0.051798,0.03624
1373.1,0.027846,0.050994,0.035833
1375,0.027404,0.05021,0.035432
1376.9,0.026974,0.049445,0.035038
1378.9,0.026554,0.048699,0.03465
1380.8,0.026145,0.047971,0.034268
1382.7,0.025746,0.04726,0.033891
1384.7,0.025357,0.046566,0.03352
1386.6,0.024977,0.045888,0.033156
1388.5,0.024607,0.045226,0.032796
1390.4,0.024245,0.044579,0.032442
1392.4,0.023891,0.043947,0.032093
1394.3,0.023546,0.043329,0.03175
1396.2,0.023209,0.042725,0.031411
1398.2,0.022879,0.042134,0.031078
1400.1,0.022557,0.041557,0.03075
1402,0.022242,0.040992,0.030427
1403.9,0.021934,0.040439,0.030108
1405.9,0.021633,0.039898,0.029794
1407.8,0.021338,0.039369,0.029485
1409.7,0.02105,0.038851,0.02918
1411.7,0.020768,0.038344,0.02888
1413.6,0.020492,0.037847,0.028584
1415.5,0.020221,0.037361,0.028293
1417.4,0.019957,0.036885,0.028005
1419.4,0.019697,0.036418,0.027722
1421.3,0.019443,0.035961,0.027443
1423.2,0.019194,0.035512,0.027168
1425.2,0.018951,0.035073,0.026897
1427.1,0.018712,0.034642,0.02663
1429,0.018477,0.03422,0.026366
1430.9,0.018248,0.033806,0.026107
1432.9,0.018023,0.0334,0.025851
1434.8,0.017802,0.033001,0.025598
1436.7,0.017585,0.03261,0.025349
1438.7,0.017373,0.032227,0.025104
1440.6,0.017165,0.03185,0.024862
1442.5,0.01696,0.031481,0.024623
1444.4,0.016759,0.031118,0.024388
1446.4,0.016562,0.030762,0.024156
1448.3,0.016369,0.030413,0.023927
1450.2,0.016179,0.030069,0.023701
1452.2,0.015993,0.029732,0.023479
1454.1,0.01581,0.029401,0.023259
1456,0.01563,0.029075,0.023042
1457.9,0.015454,0.028756,0.022828
1459.9,0.01528,0.028441,0.022618
1461.8,0.01511,0.028133,0.02241
1463.7,0.014942,0.027829,0.022204
1465.7,0.014777,0.027531,0.022002
1467.6,0.014616,0.027237,0.021802
1469.5,0.014457,0.026949,0.021605
1471.4,0.0143,0.026665,0.02141
1473.4,0.014147,0.026386,0.021218
1475.3,0.013995,0.026112,0.021028
1477.2,0.013847,0.025842,0.020841
1479.2,0.013701,0.025577,0.020657
1481.1,0.013557,0.025315,0.020474
1483,0.013415,0.025058,0.020294
1484.9,0.013276,0.024805,0.020117
1486.9,0.013139,0.024556,0.019941
1488.8,0.013004,0.024311,0.019768
1490.7,0.012872,0.02407,0.019597
1492.7,0.012741,0.023832,0.019428
1494.6,0.012613,0.023599,0.019262
1496.5,0.012486,0.023368,0.019097
1498.4,0.012362,0.023142,0.018935
1500.4,0.012239,0.022918,0.018774
1502.3,0.012118,0.022698,0.018616
1504.2,0.011999,0.022482,0.018459
1506.2,0.011882,0.022268,0.018304
1508.1,0.011767,0.022058,0.018152
1510,0.011653,0.021851,0.018001
1511.9,0.011541,0.021646,0.017852
1513.9,0.011431,0.021445,0.017705
1515.8,0.011322,0.021247,0.017559
1517.7,0.011215,0.021051,0.017416
1519.7,0.011109,0.020858,0.017274
1521.6,0.011005,0.020669,0.017133
1523.5,0.010903,0.020481,0.016995
